"광고유형별(1)",2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2,2024.1/2,2024.2/2,2025.1/2
"광고유형별(1)",통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통)
"계",0.31,0.18,0.10,0.13,0.15,0.11,0.07,0.10,0.11,0.09,0.09
"불법의약품 ",0.22,0.08,0.07,0.09,0.10,0.04,0.03,0.06,0.04,0.05,0.05
"도박",0.04,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.01,0.00,0.00
"성인",0.02,0.05,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01
"불법대출",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"금융",0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.02,0.02
"기타",0.03,0.03,0.01,0.02,0.01,0.04,0.02,0.02,0.04,0.01,0.01
