,2005상반기,2005하반기,2006상반기,2006하반기,2007상반기,2007하반기,2008상반기,2008하반기,2009상반기,2009하반기,2010상반기,2010하반기,2011상반기,2011하반기,2012상반기,2012하반기,2013상반기,2013하반기,2014상반기,2014하반기,2015상반기,2015하반기,2016상반기,2016하반기,2017상반기,2017하반기,2018상반기,2018하반기,2019상반기,2019하반기,2020상반기,2020하반기,2021상반기,2021하반기,2022상반기,2022하반기,2023상반기,2023하반기,2024상반기,2024하반기,2025상반기
이메일스팸,15.3,6.9,5.4,5.3,5,4.3,4.1,2.1,2.4,2.2,2.1,2.21,2.39,2.19,1.64,1.4,0.5,0.66,0.56,0.92,0.54,0.52,0.49,0.51,0.47,0.41,0.38,0.4,0.39,0.29,0.31,0.18,0.1,0.13,0.15,0.11,0.07,0.1,0.11,0.09,0.09
휴대전화스팸,0.62,0.74,0.99,0.47,0.54,0.57,0.51,0.46,0.46,0.44,0.46,0.43,0.46,0.3,0.28,0.26,0.28,0.25,0.22,0.18,0.18,0.15,0.17,0.17,0.23,0.09,0.09,0.09,0.14,0.13,0.16,0.28,0.35,0.29,0.26,0.25,0.24,0.35,0.43,0.29,0.17
