,19년 하반기,20년 상반기,20년 하반기,21년 상반기,21년 하반기,22년 상반기,22년 하반기,23년 상반기,23년하반기,24년 상반기,24년 하반기,25년 상반기
문자,0.07,0.09,0.19,0.24,0.18,0.16,0.17,0.17,0.3,0.39,0.24,0.1
음성,0.06,0.07,0.09,0.11,0.11,0.1,0.08,0.07,0.05,0.05,0.05,0.07
