PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
100억 프로바이오틱스 생유산균 맥스,코스맥스엔비티(주),분말
100억 프로바이오틱스 플러스+,주)팜크로스,캡슐
100억 프리미엄 패밀리 유산균,콜마비앤에이치(주)음성공장,캡슐
100억 핑크유산균,(주)메디오젠 충주공장,캡슐
100억 하루유산균,(주)메디오젠 충주공장,캡슐
100억콜유산균,(주)메디오젠 충주공장,분말
100억포스트바이오틱스,(주)한풍네이처팜,분말
100억프로바이오틱스,엠에스바이오텍(주),캡슐
100억프로바이오틱스,코스맥스바이오(주),캡슐
100프로 식물성 철분엽산,(주)케이지앤에프,캡슐
10대를 위한 기억력 업(UP) 홍삼,(주)건보,액상
10시간 지속 비타민C,엔피케이(주),정
10억 생 유산균 + 프리바이오틱스,(주)메디오젠 충주공장,분말
10억 생유산균 면역비타민D,엠에스바이오텍(주),분말
10억 생유산균 키즈,엠에스바이오텍(주),분말
10억 생유산균 프로바이오틱스,엠에스바이오텍(주),분말
10억 생유산균 프리바이오틱스 프로바이오틱스 다이어트,엠에스바이오텍(주),분말
10억 유산균 17종 프로바이오틱스,(주)팜투팜2공장,캡슐
10억 프로바이오틱스,(주)씨티씨바이오,분말
10억보장 19종 생유산균 프로바이오틱스 셀레늄 아연,주식회사 다원바이오,분말
10종 로얄 프로바이오틱스,(주)메디오젠,분말
10종 로얄 프로바이오틱스,(주)메디오젠 충주원료공장,분말
10종 복합코팅유산균 비(B),일동바이오사이언스(주),분말
10종 복합코팅유산균 에이(A),일동바이오사이언스(주),분말
10종 프로바이오틱스 엘엠(LM),주식회사 락토메이슨,분말
10종 혼합유산균 250B,일동바이오사이언스(주),분말
10종 혼합유산균 엠와이(10 Strains Blend MY),일동바이오사이언스(주),분말
10종 혼합유산균 오엘 (10 Strains Blend OL) <전량수출용>,일동바이오사이언스(주),분말
10종 혼합유산균 지씨(10 Strains Blend GC) <전량수출용>,일동바이오사이언스(주),분말
10종 혼합유산균 티에이치(10 Stains Blend TH) <전량수출용>,일동바이오사이언스(주),분말
10종 혼합유산균-200비(200B),(주)씨티씨바이오,분말
10종라비센궁유산균,(주)메디오젠,분말
10종비너스유산균,(주)메디오젠,분말
10종비너스유산균,(주)메디오젠 충주원료공장,분말
10종알파혼합유산균-2000,(주)메디오젠 충주원료공장,분말
10종알파혼합유산균-2000,(주)메디오젠,분말
10종알파혼합유산균-엘(L)2,(주)메디오젠 충주원료공장,분말
10종알파혼합유산균-엘(L)2,(주)메디오젠,분말
10종알파혼합유산균씨(C)-3600,(주)메디오젠,분말
10종에스에이치유산균비(B)-2000,(주)메디오젠,분말
10종에스에이치유산균에이(A)-2000,(주)메디오젠 충주원료공장,분말
10종에스에이치유산균에이(A)-2000,(주)메디오젠,분말
10종혼합유산균-10,(주)메디오젠,분말
10종혼합유산균-10,(주)메디오젠 충주원료공장,분말
10종혼합유산균-2300,(주)메디오젠 충주원료공장,분말
10종혼합유산균-2300,(주)메디오젠,분말
10종혼합유산균-M,(주)메디오젠 충주원료공장,분말
10종혼합유산균-M,(주)메디오젠,분말
10종혼합유산균-디(D)2,(주)메디오젠 충주원료공장,분말
10종혼합유산균-디(D)2,(주)메디오젠,분말
10종혼합유산균-엘(L)2,(주)메디오젠,분말
10종혼합유산균-엘(L)2,(주)메디오젠 충주원료공장,분말
10종혼합유산균-제이제이(JJ),(주)씨티씨바이오,분말
10종혼합유산균디아이(DI)-1900,(주)메디오젠,분말
10종혼합유산균디아이(DI)-1900,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-2100,(주)메디오젠,분말
10종혼합유산균디아이(DI)-2100,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-2200,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-2200,(주)메디오젠,분말
10종혼합유산균디아이(DI)-2300,(주)메디오젠,분말
10종혼합유산균디아이(DI)-2300,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-2600,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-2600,(주)메디오젠,분말
10종혼합유산균디아이(DI)-2700,(주)메디오젠,분말
10종혼합유산균디아이(DI)-3000,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)-3000,(주)메디오젠,분말
10종혼합유산균디아이(DI)2-2100,(주)메디오젠,분말
10종혼합유산균디아이(DI)2-2200,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)2-2200,(주)메디오젠,분말
10종혼합유산균디아이(DI)2-2300,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)2-2300,(주)메디오젠,분말
10종혼합유산균디아이(DI)2-2700,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)2-2700,(주)메디오젠,분말
10종혼합유산균디아이(DI)3-2200,(주)메디오젠,분말
10종혼합유산균디아이(DI)3-2200,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)3-2300,(주)메디오젠 충주원료공장,분말
10종혼합유산균디아이(DI)3-2300,(주)메디오젠,분말
10종혼합유산균디엔(DN)-2000,(주)메디오젠 충주원료공장,분말
10종혼합유산균디엔(DN)-2000,(주)메디오젠,분말
10종혼합유산균브이(V)-2000,(주)메디오젠 충주원료공장,분말
10종혼합유산균브이(V)-2000,(주)메디오젠,분말
10종혼합유산균브이(V)5,(주)메디오젠,분말
10종혼합유산균브이(V)5,(주)메디오젠 충주원료공장,분말
10종혼합유산균에프(F)-2200,(주)메디오젠 충주원료공장,분말
10종혼합유산균에프(F)-2200,(주)메디오젠,분말
10종혼합유산균엠피(MP),(주)메디오젠 충주원료공장,분말
10종혼합유산균엠피(MP),(주)메디오젠,분말
11 & rTG 오메가3 premium,(주)한국씨엔에스팜,캡슐
11 Strain Mixture(전량수출용),(주)쎌바이오텍,캡슐
11종 복합코팅유산균 에스엘(SL),일동바이오사이언스(주),분말
11종 혼합유산균 1011,(주)쎌바이오텍,분말
11종 혼합유산균 2011,(주)쎌바이오텍,분말
11종 혼합유산균 300B (전량수출용),(주)종근당바이오,분말
11종 혼합유산균 3011,(주)쎌바이오텍,분말
11종 혼합유산균(PSRHS-001),(주)비오팜,분말
11종 혼합유산균(PSRHS-002),(주)비오팜,분말
11종우먼유산균,(주)메디오젠,분말
11종혼합유산균 아이(I),(주)메디오젠 충주원료공장,분말
