PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
우리칼슘젤리,(주)서흥헬스케어,젤리
우아클 오름 키즈 칼마디K2,엠에스바이오텍(주),젤리
웰러스 바른 칼슘마그네슘디,(주)팜투팜2공장,정
웰씨드 마디칼슘K2,광동헬스바이오(주) 2공장,분말
유한 마그디 칼슘 K2,코스맥스엔비티(주),정
유한m 칼슘 마그네슘 비타민 D 비타민 K2,(주)아오스,정
응 뼈건강엔 칼마디K2야,주식회사 상상바이오,정
인칼슘 앱솔브+,(주)한국씨엔에스팜,정
지엠팜 칼마디K2,(주)세움바이오텍,정
츄어블 칼슘 마그네슘 비타민D3 K2,코스맥스엔비티(주),정
칼마디 & 초임계 비타민K2,주식회사 노바렉스,정
칼마디 K2 프로,주식회사 노바렉스,분말
칼마디&K2 코랄칼슘,주식회사 노바렉스,정
칼마디K2,주식회사 노바렉스,정
칼마디앤K2,코스맥스바이오(주),정
칼본엔오플러스,동서바이오팜(주) 안성공장,캡슐
칼슘 마그네슘 아연 비타민D K2,(주)파마피아,정
칼슘마그네슘디,콜마비앤에이치(주)세종3공장,정
칼슘마그네슘비타민DK2,(주)유유헬스케어,정
칼슘챔피언 플러스,코스맥스바이오(주),젤리
케이본스트롱,(주)바이오 로제트,정
케이투미네랄부스터,광동헬스바이오(주) 2공장,캡슐
케이하이 K2 HI,코스맥스바이오(주),젤리
키즈텐칼슘업,코스맥스바이오(주),젤리
키즈텐칼슘업 열대과일맛,코스맥스바이오(주),젤리
키즈텐칼슘업사과맛,코스맥스바이오(주),젤리
키크업,(주)서흥헬스케어,젤리
타블렛본케어,노비스바이오(주),정
투퍼데이 칼마디K2 Plus,광동헬스바이오(주) 2공장,정
트러스펙트 칼슘 마그네슘 아연 비타민D K2,(주)파마피아,정
튼튼키즈 칼마디 플러스K2,주)팜크로스,분말
파워칼마디K2,주식회사 노바렉스,정
퓨어젠 케이투 키즈 미네랄,콜마비앤에이치(주)세종3공장,분말
프리미엄 멀티비타민 이뮨샷,주식회사 네추럴웨이 포천 제2공장,기타
프리미엄 뼈엔 칼슘 마그네슘 비타민D K2 아연,(주)코지맘바이오,정
프리미엄 트리플 칼마디 K2,(주)씨이에스팜,정
피치힐 쿨멜팅 CMDK,콜마비앤에이치(주)세종3공장,분말
한포유 칼마디 D3 + K2,주식회사 노바렉스,정
허발란스 칼슘 HerBalance Calcium,코스맥스엔비티(주),정
